Name,Mass (kg),Radius (km),Orbit SMA (km),Orbit Mean Velocity (km/s),Inclination (deg)
Mercury,3.3E+023,2439.5,57900000,47.4,7
Venus,4.87E+024,6052,108000000,35,3.4
Earth,5.97E+024,6378,150000000,29.8,0
Mars,6.42E+023,3396,228000000,24.1,1.9
Jupiter,1.9E+027,71492,779000000,13.1,1.3
Saturn,5.68E+026,60268,1430000000,9.7,2.5
Uranus,8.68E+025,25559,2870000000,6.8,0.8
Neptune,1.02E+026,24764,4500000000,5.4,1.8
Pluto,1.46E+022,1185,5910000000,4.7,17.2
